--- PHASE 2 LINE-BY-LINE PROCESSING LOG ---
Input PDF: E0CCG5S239.pdf
Heading Font Threshold: >= 9.7pt
Potential Heading Fonts: []
Noise Fonts: []
-------------------------------------------
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Date of entering the Central Government'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Service'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'PAY + SI + NPA'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '4.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Whether permanent or temporary'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '5.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '6.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Home Town as recorded in the Service Book'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Whether wife / husband is employed and if'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '7.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'so whether entitled to LTC'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Whether the concession is to be availed for'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'visiting home town and if so block for which'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '8.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'LTC is to be availed.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '(a) If the concession is to visit anywhere in'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'India, the place to be visited.'
