--- PHASE 2 LINE-BY-LINE PROCESSING LOG ---
Input PDF: E0CCG5S312.pdf
Heading Font Threshold: >= 10.0pt
Potential Heading Fonts: [24.0, 18.0, 16.0, 14.0, 12.0]
Noise Fonts: [6.0]
-------------------------------------------
Page 1   | Font: 24.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, LargeFont, VS_PASSED(A:172.8,B:110.8), IND_PASSED(Diff:136.3), F2_PASSED | Text: 'Foundation Level Extensions'
Page 1   | Font: 12.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 1.0'
Page 1   | Font: 18.0 pt | Status: SKIPPED   | Filters: F1_PASSED, LargeFont, VS_FAILED(A:69.9,B:166.5), IND_FAILED(Diff:-32.4), F2_FAILED | Text: 'International Software Testing Qualifications Board'
Page 1   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Copyright Notice'
Page 1   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'This document may be copied in its entirety, or extracts ...'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 2   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Board'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Copyright © International Software Testing Qualifications...'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 2 of 12'
Page 2   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 2   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 3   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications Board'
Page 3   | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, LargeFont, VS_PASSED(A:36.2,B:12.7), IND_PASSED(Diff:3.5), F2_PASSED | Text: 'Revision History'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Date'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_PASSED, Style, VS_FAILED(A:-11.1,B:1.3), IND_FAILED(Diff:-204.3), F2_FAILED | Text: 'Remarks'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '0.1'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '18 JUNE 2013'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Initial version'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '0.2'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '23 JULY 2013'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'WG reviewed and confirmed'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '0.3'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '6 NOV 2013'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'amended population and diagram'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '0.7'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '11 DEC 2013'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Amended Business Outcomes and Chapters matching'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '0.8'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '20 DEC 2013'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Working group updates on 0.7'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '1.0'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '31 MAY 2014'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'GA release for Agile Extension'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 3 of 12'
Page 3   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 3   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 4   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Board'
Page 4   | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, LargeFont, VS_PASSED(A:36.2,B:18.0), IND_PASSED(Diff:0.0), F2_PASSED | Text: 'Table of Contents'
Page 4   | Font: 10.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:80.9), F2_PASSED | Text: 'Revision History'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3'
Page 4   | Font: 10.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:86.4), F2_PASSED | Text: 'Table of Contents'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '4'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '1.'
Page 4   | Font: 10.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:232.0), F2_PASSED | Text: 'Introduction to the Foundation Level Extensions'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '6'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.'
Page 4   | Font: 10.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:267.9), F2_PASSED | Text: 'Introduction to Foundation Level Agile Tester Extension'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '7'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.1'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Intended Audience'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '7'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.2'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Career Paths for Testers'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '7'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.3'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Learning Objectives'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '7'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.4'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Entry Requirements'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '8'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.5'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Structure and Course Duration'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '8'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.6'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Keeping It Current'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '9'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3.'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_PASSED, Style, IND_PASSED(Diff:323.1), F2_PASSED, POTENTIAL_BODY_TEXT_MIXED_STYLE_FILTER_FAILED | Text: 'Overview of the Foundation Level Extension –Agile Tester ...'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '.........................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '10'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3.1'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Business Outcomes'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '10'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3.2'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Content'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '10'
