--- PHASE 2 LINE-BY-LINE PROCESSING LOG ---
Input PDF: E0H1CM114.pdf
Heading Font Threshold: >= 11.0pt
Potential Heading Fonts: [20.0, 16.0, 12.0]
Noise Fonts: [7.6]
-------------------------------------------
Page 1   | Font: 20.0 pt | Status: SKIPPED   | Filters: F1_PASSED, LargeFont, VS_FAILED(A:270.5,B:329.4), IND_FAILED(Diff:-146.6), F2_FAILED | Text: 'March 21, 2003'
Page 1   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The Ontario Digital Library will make Ontario a better pl...'
Page 1   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'all Ontario citizens have access to the knowledge and lea...'
Page 1   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'learners and effective contributors towards Ontario’s pro...'
Page 2   | Font: 20.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:16.6,B:3.5), IND_PASSED(Diff:0.0), F2_PASSED | Text: 'Ontario’s Digital Library'
Page 2   | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:3.5,B:0.5), IND_PASSED(Diff:0.0), F2_PASSED | Text: 'A Critical Component for Implementing Ontario’s Road Map to'
Page 2   | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_FAILED(A:0.5,B:39.2), IND_PASSED(Diff:6.0), F2_PASSED | Text: 'Prosperity Strategy'
Page 2   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:39.2,B:15.9), IND_PASSED(Diff:0.0), F2_PASSED | Text: 'Summary'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The purpose of this Request for Proposal (RFP) is to invi...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'present a proposal for developing the business plan for t...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The ODL will deliver high-quality library electronic cont...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'assist people as they learn, work, and enhance their qual...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'developed is to document and clearly communicate:'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'how the ODL will be implemented, including the timeline'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'the financial plan for the implementation'
